path,speakerId,transcription,intent,intentLbl
../smart-lights-en-close-field/speech_corpus/audio/493.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,I would like lights on inside the house,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/652.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Lights out please,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/95.wav,4373a208-efd7-4eea-9440-94f52145cd78,Can you please brighten this room up a bit?,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1527.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,please dim the lights,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/986.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Set living room bright level to twenty two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1303.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Turn the lights on.,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/971.wav,59cd6be1-827d-43ba-9e53-aa35d9c5d3d5,Reduce the brightness in the bedroom please,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/846.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Please get the lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/178.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Change the laundry room color to green,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1532.wav,840a87a9-51ee-4f9a-a812-fc805f8e802d,please increase the brightness,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/766.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Make the lights go on,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/594.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,Increase the lighting,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/805.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,More light please,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1246.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn the brightness to thirty nine percent,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/20.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Adjust the laundry room lighting to level thirty nine,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/550.wav,62c59086-3e46-4c49-85d6-047f69928fc9,I'm in the kitchen can you give me some lights please,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1019.wav,6d3dc6c5-3310-4fe3-b071-fb17fb9d6803,Set the lights dimmer in the office,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/356.wav,01356b70-791d-42c4-b14b-56fefa67358f,I need the lights off in the entrance,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/674.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,Make certain no lights are on in the bathroom,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/398.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want red lights please,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1220.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the lights in the entrance,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1306.wav,f4a444ad-e878-47da-ba22-059a32b48e6c,Turn the lights to a darker setting in the office,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/953.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Put the cellar lights to off,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/897.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,Please turn down the lights,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1365.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,brighten up the cubicle,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1061.wav,acf3ffdb-fd5b-4245-958a-3441dbaff881,Switch all of the lights to the off position in the vestibule,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/7.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Add more lighting in the basement,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1542.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,please switch color of all lights to green,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1380.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,can you turn the lights down,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/150.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Change lights in garage to level five,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/847.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Please go on and increase the brightness ,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/830.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,Please change the colors to red in the bathroom,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/741.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Make the laundry room a bit darker please,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/558.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,In the garage change the lights to pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/115.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Can you set the meeting room to be a pink hue?,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1024.wav,74e9b845-0a5a-4af0-959b-5f4fcf28fed3,Set the lights to a higher intensity in the changing room,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1088.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,The brightness in the studio should be twenty two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1463.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,"its so dark in here, please turn up the lights just a little",IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1572.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,set the living room lights to ten percent,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1057.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,Stop the lights from shining in the bathroom,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/33.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,"Assistant, turn my lights on.",SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1025.wav,74e9b845-0a5a-4af0-959b-5f4fcf28fed3,Set the lights to a higher intensity in the living room,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1434.wav,143921a6-6caa-417f-bd7e-2732023270c1,i need light,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1387.wav,4373a208-efd7-4eea-9440-94f52145cd78,change lamp to pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/630.wav,16760ead-20e2-42f7-a62d-3ed356699f7f,Let there be light,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/866.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,Please make the lights brighter,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1154.wav,e23027b0-4121-4be8-9b65-f34550c3f4de,Turn down the lights in the large meeting room,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1233.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn studio lights on,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1477.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,lights at seventy-three in the bedroom please.,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/858.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Please lower the lights in the room.,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/947.wav,143921a6-6caa-417f-bd7e-2732023270c1,Put bathroom brightness to fifty,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/661.wav,01efb0b6-4dc5-436e-9639-d313e761d7ad,Lower the brightness in the cubicle,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1396.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,changing room lights off please,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1506.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,make the light pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1390.wav,7f04b6d2-1f2a-4452-80e6-3248409fe5d2,change lights to pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/48.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Brightness should be set to twelve percent,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/301.wav,143921a6-6caa-417f-bd7e-2732023270c1,Help me dim the lights,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1374.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,can you make the light go blue,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1368.wav,d30d0d55-2974-4a22-ac9e-d4d2a95ac702,can you gimme some light please in the kitchen,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/614.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Is there anyway you can change the light to be blue?,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/484.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,I want to turn off the patio lamps,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1456.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,increase the brightness on the patio.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1408.wav,4373a208-efd7-4eea-9440-94f52145cd78,dim the bed room lights ,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1027.wav,74e9b845-0a5a-4af0-959b-5f4fcf28fed3,Set the lights to a lower intensity,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/590.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the intensity of the lights,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/807.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Move the brightness setting in the dining room to five.,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/503.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,I would like the vestibule to be pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1482.wav,e23027b0-4121-4be8-9b65-f34550c3f4de,lights off in the toilets.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1418.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,double the brightness,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/45.wav,d30d0d55-2974-4a22-ac9e-d4d2a95ac702,Brighten up the cubicle,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1317.wav,acf3ffdb-fd5b-4245-958a-3441dbaff881,Turn the living room lights up,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1214.wav,4e1a0afa-74e0-4d34-a6cd-ae2d96067f0f,Turn on the laundry room lighting,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/423.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the light color changed to red,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/516.wav,4373a208-efd7-4eea-9440-94f52145cd78,I'd like the brightness turned down.,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/467.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the toilet lights off,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1659.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,turn the lights up,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/198.wav,4e0d0b9b-59da-42f8-ace0-5a795c68a7e8,Change the lights to green please.,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1144.wav,27bbc36b-3d70-4d5c-998c-803f6ee91c2e,Turn down the light power in the pantry all the way,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1632.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,turn off all bedroom lamps please,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1051.wav,974d3dfa-d5ed-4f7a-a2d8-e72d521c69ce,Shut the lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/399.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the bathroom to be more dim,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1060.wav,974d3dfa-d5ed-4f7a-a2d8-e72d521c69ce,Stop the lights.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/683.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Make it brighter in the large meeting room.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/55.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Can the living room lights be turned off,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/233.wav,550b9155-6601-488b-82c9-d316036fc144,Decrease light brightness in kitchen,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/632.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,Let's have red lights ,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/311.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Help me set the entrance light to two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/707.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,Make sure the lights brighter so I can see,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1218.wav,879c3ade-29b9-4bb5-9272-dabf30186e0e,Turn on the lights in the bedroom,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1445.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,in the backyard the lights need to be pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/556.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,In the entrance change the colors to red,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/900.wav,4e0d0b9b-59da-42f8-ace0-5a795c68a7e8,Please turn lights red in large meeting room,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/112.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Can you set the brightness to twenty two for the entire house?,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/932.wav,840a87a9-51ee-4f9a-a812-fc805f8e802d,Please turn the patio lights up for me.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1636.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,turn off the lamps,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/946.wav,550b9155-6601-488b-82c9-d316036fc144,Power the office lights,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1069.wav,143921a6-6caa-417f-bd7e-2732023270c1,Switch off the shed lights.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1431.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,help me turn down the light in the cellar,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1267.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Turn the light on in the bedroom,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/607.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Is it possible for you to turn the lights up in the cellar for us,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/564.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,In the lounge turn the lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/944.wav,acf3ffdb-fd5b-4245-958a-3441dbaff881,Power the cublicle lamps to ten,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1329.wav,27bbc36b-3d70-4d5c-998c-803f6ee91c2e,Turn up the lighting,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1188.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn off the lights in the entire flat,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1181.wav,aece67b7-d40e-42f3-bae5-d3ef49846ed7,Turn off the lights for me,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/460.wav,4373a208-efd7-4eea-9440-94f52145cd78,I want the lights turned down in the bed room,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1664.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,turn up the brightness in the patio,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/873.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Please set it to five.,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/961.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,Put the lights to twelve percent in the bathroom,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/883.wav,4373a208-efd7-4eea-9440-94f52145cd78,"Please set the toilets room light to two
",SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1213.wav,4373a208-efd7-4eea-9440-94f52145cd78,Turn on the entrance lights,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/349.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need the light to be brighter,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1645.wav,aa5bc53b-9148-4b5f-835f-8653c89bc6ae,turn on the lights in the bathroom,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/195.wav,4373a208-efd7-4eea-9440-94f52145cd78,Change the lights in the parking room,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1485.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,lights should be set at level twenty two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/290.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,Go ahead and turn the large meeting room light to pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/111.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Can you set the brightness to seventy-three,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/139.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Can you turn the lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/325.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,I don't want the lights on.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/205.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Change the office lights to fifty.,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/338.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need my bedroom lights lower. ,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/768.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make the lights green please.,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/323.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I don't want the lights on anymore,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/695.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make lights brighter.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1308.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,Turn the lights to a lower setting,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1372.wav,143921a6-6caa-417f-bd7e-2732023270c1,can you increase the brightness of the entire house,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/376.wav,c90d7f99-da8b-424c-95f9-610c56bdeb7d,I want green light,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/561.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,In the laundry room turn down the light power,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/609.wav,057065b7-fdaa-42ac-998c-4efb48d620eb,Is it possible to turn down the brightness in the kids bedroom,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/555.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,In the cubicle and switch off the lights,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/879.wav,6d3dc6c5-3310-4fe3-b071-fb17fb9d6803,Please set the office lights down,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/819.wav,6d3dc6c5-3310-4fe3-b071-fb17fb9d6803,Please adjust the light brightness to go lower please.,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/501.wav,4e1a0afa-74e0-4d34-a6cd-ae2d96067f0f,I would like the lights turned off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1165.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn lights on over the toilet,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1168.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Turn meeting room lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1385.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,change color of bathroom lights to pink,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/234.wav,59cd6be1-827d-43ba-9e53-aa35d9c5d3d5,Decrease light brightness please,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1064.wav,4373a208-efd7-4eea-9440-94f52145cd78,Switch off all exterior lighting.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1097.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,The garage should have its lights turned off now,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/963.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Put the parking brightness at twenty,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1416.wav,605a3d3d-973b-4b8e-93cf-3044c00e47b2,dining room needs to be at twelve percent,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/16.wav,acf3ffdb-fd5b-4245-958a-3441dbaff881,Adjust the cella lights to twenty two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1590.wav,74e9b845-0a5a-4af0-959b-5f4fcf28fed3,switch off the light in the toilet,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1283.wav,b4edfdcf-732c-4606-9a76-ac68cb239cda,Turn the lights off in the office,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/342.wav,52550932-54ef-45b9-b1bd-6a38e2507f4b,I need some light please in the kitchen,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1241.wav,9294d77a-9d94-4903-a978-af94ab79c0d9,Turn the brightness down,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1540.wav,4373a208-efd7-4eea-9440-94f52145cd78,please some light,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1044.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Shut off the lights at the entrance,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/725.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Make the cubicle less bright,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1067.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Switch off the lights,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/292.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Go straight and turn on the lights,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/989.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,Set the bathroom lights to the on position,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/927.wav,4373a208-efd7-4eea-9440-94f52145cd78,Please turn the lights down.,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/762.wav,840a87a9-51ee-4f9a-a812-fc805f8e802d,Make the lights brighter in the studio.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/258.wav,b13f7c89-1aca-46c8-b9c9-0cf3a472e6b3,Dim the lighting completely in the waiting room,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/93.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you make the lights in the office green?,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/1109.wav,546bfda8-9f7d-4cf5-8c44-931e4226ec82,The light needs to be dimmed,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1424.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,get the lights on now please,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1269.wav,4e0d0b9b-59da-42f8-ace0-5a795c68a7e8,Turn the lights blue,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/625.wav,143921a6-6caa-417f-bd7e-2732023270c1,Kill the bathroom lights.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1625.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,turn down the brightness level of light bulbs,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/1405.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,decrease lights in laundry room to all the way off,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/437.wav,9f6716f3-279d-4489-8e33-500a052465cd,I want the lights in the bed room set to five.,SetLightBrightness,2
