,Unnamed: 0,path,speakerId,transcription,action,object,location
23,1262,wavs/speakers/k5bqyxx2lzIbrlg9/0f2a2760-4528-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,Stop,deactivate,music,none
24,22972,wavs/speakers/zZezMeg5XvcbRdg3/db731450-45da-11e9-81ce-69b74fd7e64e.wav,zZezMeg5XvcbRdg3,Turn it up,increase,volume,none
25,13520,wavs/speakers/ObdQbr9wyDfbmW4E/c4a5df10-4453-11e9-beaa-1f3e1eab7bff.wav,ObdQbr9wyDfbmW4E,Switch the lights off,deactivate,lights,none
26,12668,wavs/speakers/n5XllaB4gZFwZXkBz/c0e8f4a0-45f4-11e9-aa19-e96346c3828f.wav,n5XllaB4gZFwZXkBz,Stop,deactivate,music,none
27,4486,wavs/speakers/AY5e3mMgZkIyG3Ox/874a33c0-446a-11e9-beaa-1f3e1eab7bff.wav,AY5e3mMgZkIyG3Ox,Lamp off,deactivate,lamp,none
28,3415,wavs/speakers/V4ZbwLm9G5irobWn/88d110e0-4525-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,That’s too loud,decrease,volume,none
29,9926,wavs/speakers/KLa5k73rZvSlv82X/ccd023c0-45e9-11e9-b578-494a5b19ab8b.wav,KLa5k73rZvSlv82X,"It’s too loud, turn it down",decrease,volume,none
30,265,wavs/speakers/4BrX8aDqK2cLZRYl/7511fa50-4530-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Turn the temperature up,increase,heat,none
31,13510,wavs/speakers/ObdQbr9wyDfbmW4E/7e5dc680-4453-11e9-beaa-1f3e1eab7bff.wav,ObdQbr9wyDfbmW4E,Lights on in the bedroom,activate,lights,bedroom
32,2245,wavs/speakers/7NEaXjeLX3sg3yDB/44500770-454b-11e9-aa52-bf2189a03a60.wav,7NEaXjeLX3sg3yDB,Louder please,increase,volume,none
33,12580,wavs/speakers/n5XllaB4gZFwZXkBz/5bacc6d0-45f3-11e9-aa19-e96346c3828f.wav,n5XllaB4gZFwZXkBz,Turn volume down,decrease,volume,none
34,16071,wavs/speakers/R3mXwwoaX9IoRVKe/5986cc10-454f-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Turn off the music,deactivate,music,none
35,9815,wavs/speakers/KLa5k73rZvSlv82X/992f3d90-45e8-11e9-b578-494a5b19ab8b.wav,KLa5k73rZvSlv82X,Switch on the lights,activate,lights,none
36,2014,wavs/speakers/mj4BWeRbp7ildyB9d/360338e0-4528-11e9-a843-8db76f4b5e29.wav,mj4BWeRbp7ildyB9d,Lights on in the bedroom,activate,lights,bedroom
37,1271,wavs/speakers/D4jGxZ7KamfVo4E2V/b02ab0e0-45d1-11e9-9992-dfba019cb646.wav,D4jGxZ7KamfVo4E2V,Lamp on,activate,lamp,none
38,6414,wavs/speakers/DMApMRmGq5hjkyvX/2c0df4d0-45da-11e9-81ce-69b74fd7e64e.wav,DMApMRmGq5hjkyvX,Language settings,change language,none,none
39,21499,wavs/speakers/Z7BXPnplxGUjZdmBZ/f8eb6ca0-44f7-11e9-a1ea-79ca03012c0e.wav,Z7BXPnplxGUjZdmBZ,Turn up the heat in the kitchen,increase,heat,kitchen
40,7769,wavs/speakers/g2dnA9Wpvzi2WAmZ/d5ff0ff0-454a-11e9-aa52-bf2189a03a60.wav,g2dnA9Wpvzi2WAmZ,Turn the volume up,increase,volume,none
41,21232,wavs/speakers/YbmvamEWQ8faDPx2/d4a488c0-45e9-11e9-b578-494a5b19ab8b.wav,YbmvamEWQ8faDPx2,Play the music,activate,music,none
42,3026,wavs/speakers/V4ejqNL4xbUKkYrV/08347b70-459d-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,Get me my socks,bring,socks,none
43,19720,wavs/speakers/xRQE5VD7rRHVdyvM/8fa0a540-45c3-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Bring some juice,bring,juice,none
44,1432,wavs/speakers/5BEzPgPKe8taG9OB/f8ceed10-457d-11e9-9600-8f19ade2128c.wav,5BEzPgPKe8taG9OB,Switch off the lamp,deactivate,lamp,none
45,2749,wavs/speakers/8e5qRjN7dGuovkRY/c0fb6bd0-459f-11e9-bf4b-216bfa333ac2.wav,8e5qRjN7dGuovkRY,Lamp on,activate,lamp,none
46,1465,wavs/speakers/5BEzPgPKe8taG9OB/41566e50-457e-11e9-9600-8f19ade2128c.wav,5BEzPgPKe8taG9OB,Turn off the lights in the bedroom,deactivate,lights,bedroom
47,11445,wavs/speakers/M4ybygBlWqImBn9oZ/34c9b990-454b-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,Turn up the heat in the bathroom,increase,heat,washroom
48,7016,wavs/speakers/EExgNZ9dvgTE3928/ba232fc0-4610-11e9-bc65-55b32b211b66.wav,EExgNZ9dvgTE3928,Increase the temperature in the washroom,increase,heat,washroom
49,2981,wavs/speakers/Pz327QrLaGuxW8Do/9e2fe0a0-450d-11e9-9539-7f047cfe24d1.wav,Pz327QrLaGuxW8Do,"I couldn't hear anything, turn up the volume",increase,volume,none
50,6177,wavs/speakers/d3erpmyk9yFlVyrZ/6f9a91e0-4611-11e9-bc65-55b32b211b66.wav,d3erpmyk9yFlVyrZ,Bring me my shoes,bring,shoes,none
51,11000,wavs/speakers/kxgXN97ALmHbaezp/f292ad90-4467-11e9-beaa-1f3e1eab7bff.wav,kxgXN97ALmHbaezp,Increase the heating,increase,heat,none
52,414,wavs/speakers/4BrX8aDqK2cLZRYl/77c28970-4532-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Bedroom heat down,decrease,heat,bedroom
53,2703,wavs/speakers/8e5qRjN7dGuovkRY/17608970-459f-11e9-bf4b-216bfa333ac2.wav,8e5qRjN7dGuovkRY,Set my phone's language to Chinese,change language,Chinese,none
54,14231,wavs/speakers/oXjpaOq4wVUezb3x/a3d08ad0-450f-11e9-9539-7f047cfe24d1.wav,oXjpaOq4wVUezb3x,Decrease the temperature,decrease,heat,none
55,11863,wavs/speakers/mor8vDGkaOHzLLWBp/40f22250-453e-11e9-b1e4-e5985dca719e.wav,mor8vDGkaOHzLLWBp,Far too quiet,increase,volume,none
56,10806,wavs/speakers/kxgXN97ALmHbaezp/91922310-4465-11e9-beaa-1f3e1eab7bff.wav,kxgXN97ALmHbaezp,Could you decrease the heating please?,decrease,heat,none
57,4993,wavs/speakers/BvyakyrDmQfWEABb/b7250590-45fd-11e9-bc65-55b32b211b66.wav,BvyakyrDmQfWEABb,Lights on in the bathroom,activate,lights,washroom
58,1020,wavs/speakers/D4jGxZ7KamfVo4E2V/08c473b0-45cf-11e9-9992-dfba019cb646.wav,D4jGxZ7KamfVo4E2V,Turn the heat up,increase,heat,none
59,2994,wavs/speakers/V4ejqNL4xbUKkYrV/890ebd10-459c-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,Turn the bedroom heat down,decrease,heat,bedroom
60,3693,wavs/speakers/V4ZbwLm9G5irobWn/12ca46a0-452a-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,Increase the temperature in the washroom,increase,heat,washroom
61,2435,wavs/speakers/mj4BWeRbp7ildyB9d/c6e42250-452f-11e9-b1e4-e5985dca719e.wav,mj4BWeRbp7ildyB9d,OK now switch the main language to Chinese,change language,Chinese,none
62,863,wavs/speakers/52XVOeXMXYuaElyw/12c65620-45c6-11e9-8ec0-7bf21d1cfe30.wav,52XVOeXMXYuaElyw,Switch the bedroom lights on,activate,lights,bedroom
63,9778,wavs/speakers/jgxq52DoPpsR9ZRx/88ba3910-451b-11e9-9035-7943ec3b842a.wav,jgxq52DoPpsR9ZRx,Bring me my shoes,bring,shoes,none
64,1116,wavs/speakers/52XVOeXMXYuaElyw/17713930-45c9-11e9-8ec0-7bf21d1cfe30.wav,52XVOeXMXYuaElyw,Turn on the bathroom lights,activate,lights,washroom
65,10179,wavs/speakers/kNnmb7MdArswxLYw/514eea10-45ee-11e9-aa19-e96346c3828f.wav,kNnmb7MdArswxLYw,Turn down the bedroom heat,decrease,heat,bedroom
66,2548,wavs/speakers/8e5qRjN7dGuovkRY/b0031860-4594-11e9-9600-8f19ade2128c.wav,8e5qRjN7dGuovkRY,Bedroom lights off,deactivate,lights,bedroom
67,7907,wavs/speakers/G3QxQd7qGRuXAZda/f52e5600-45e6-11e9-b578-494a5b19ab8b.wav,G3QxQd7qGRuXAZda,Kitchen heat up,increase,heat,kitchen
68,2397,wavs/speakers/mj4BWeRbp7ildyB9d/672ea380-452f-11e9-b1e4-e5985dca719e.wav,mj4BWeRbp7ildyB9d,Bring me the newspaper,bring,newspaper,none
69,1815,wavs/speakers/NgQEvO2x7Vh3xy2xz/d7f5b5c0-45cc-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,Turn on the kitchen lights,activate,lights,kitchen
70,16936,wavs/speakers/ro5AaKwypZIqNEp2/3ca950f0-4481-11e9-a9a5-5dbec3b8816a.wav,ro5AaKwypZIqNEp2,Go get me some juice,bring,juice,none
71,11560,wavs/speakers/M4ybygBlWqImBn9oZ/d657a550-454c-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,Turn down the temperature,decrease,heat,none
72,15989,wavs/speakers/R3mXwwoaX9IoRVKe/f7447d50-454d-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Stop,deactivate,music,none
73,18219,wavs/speakers/W4XOzzNEbrtZz4dW/5c557250-44d4-11e9-a8b6-e96f2628bf65.wav,W4XOzzNEbrtZz4dW,Set my phone's language to Korean,change language,Korean,none
74,12633,wavs/speakers/n5XllaB4gZFwZXkBz/16d511b0-45f4-11e9-aa19-e96346c3828f.wav,n5XllaB4gZFwZXkBz,Heat down,decrease,heat,none
75,22824,wavs/speakers/zZezMeg5XvcbRdg3/2c8caca0-45d8-11e9-81ce-69b74fd7e64e.wav,zZezMeg5XvcbRdg3,Decrease the heating in the washroom,decrease,heat,washroom
76,16819,wavs/speakers/ro5AaKwypZIqNEp2/29e61d00-4480-11e9-a9a5-5dbec3b8816a.wav,ro5AaKwypZIqNEp2,Switch the bedroom lights off,deactivate,lights,bedroom
77,9567,wavs/speakers/jgxq52DoPpsR9ZRx/8ab864f0-4519-11e9-9035-7943ec3b842a.wav,jgxq52DoPpsR9ZRx,Set my phone's language to English,change language,English,none
78,3985,wavs/speakers/anvKyBjB5OiP5dYZ/b127e820-457a-11e9-9600-8f19ade2128c.wav,anvKyBjB5OiP5dYZ,Turn the temperature in the bedroom down,decrease,heat,bedroom
79,10575,wavs/speakers/KqDyvgWm4Wh8ZDM7/9e421570-44d3-11e9-a8b6-e96f2628bf65.wav,KqDyvgWm4Wh8ZDM7,Bring me the newspaper,bring,newspaper,none
80,21806,wavs/speakers/zaEBPeMY4NUbDnZy/095825e0-44d7-11e9-a8b6-e96f2628bf65.wav,zaEBPeMY4NUbDnZy,Go get me my socks,bring,socks,none
81,4352,wavs/speakers/AvR9dePW88IynbaE/ae89d030-4523-11e9-a843-8db76f4b5e29.wav,AvR9dePW88IynbaE,Increase the temperature in the washroom,increase,heat,washroom
82,5187,wavs/speakers/BvyakyrDmQfWEABb/0d208060-4607-11e9-bc65-55b32b211b66.wav,BvyakyrDmQfWEABb,Play,activate,music,none
83,2167,wavs/speakers/oOK5kxoW7dskMbaK/69319050-44eb-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,Resume,activate,music,none
84,445,wavs/speakers/2ojo7YRL7Gck83Z3/d5fef430-45df-11e9-81ce-69b74fd7e64e.wav,2ojo7YRL7Gck83Z3,Turn the heat up in the bathroom,increase,heat,washroom
85,6904,wavs/speakers/EExgNZ9dvgTE3928/f696df80-460e-11e9-bc65-55b32b211b66.wav,EExgNZ9dvgTE3928,Turn the lights on,activate,lights,none
86,21949,wavs/speakers/zaEBPeMY4NUbDnZy/9570b930-44db-11e9-a8b6-e96f2628bf65.wav,zaEBPeMY4NUbDnZy,Reduce audio volume,decrease,volume,none
87,5206,wavs/speakers/BvyakyrDmQfWEABb/3f99cbf0-4607-11e9-bc65-55b32b211b66.wav,BvyakyrDmQfWEABb,Switch the kitchen lights on,activate,lights,kitchen
88,11254,wavs/speakers/LR5vdbQgp3tlMBzB/1edb5bf0-45cf-11e9-9992-dfba019cb646.wav,LR5vdbQgp3tlMBzB,Turn it down,decrease,volume,none
89,11767,wavs/speakers/M4ybygBlWqImBn9oZ/dbf88bb0-4550-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,OK now switch the main language to Korean,change language,Korean,none
90,19584,wavs/speakers/xRQE5VD7rRHVdyvM/b66a7be0-45c0-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Switch on the washroom lights,activate,lights,washroom
91,6670,wavs/speakers/DMApMRmGq5hjkyvX/92e2ce90-45dc-11e9-81ce-69b74fd7e64e.wav,DMApMRmGq5hjkyvX,Set my phone's language to Chinese,change language,Chinese,none
92,969,wavs/speakers/9MX3AgZzVgCw4W4j/8f6426a0-4501-11e9-a1ea-79ca03012c0e.wav,9MX3AgZzVgCw4W4j,Kitchen lights off,deactivate,lights,kitchen
93,13912,wavs/speakers/oRrwPDNPlAieQr8Q/7cc9edc0-451c-11e9-9035-7943ec3b842a.wav,oRrwPDNPlAieQr8Q,Play the music,activate,music,none
94,13463,wavs/speakers/ObdQbr9wyDfbmW4E/0cad7760-4453-11e9-beaa-1f3e1eab7bff.wav,ObdQbr9wyDfbmW4E,I need to practice my Korean. Switch the language,change language,Korean,none
95,15913,wavs/speakers/R3mXwwoaX9IoRVKe/01c0a690-454a-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Far too loud,decrease,volume,none
96,1032,wavs/speakers/52XVOeXMXYuaElyw/fd8808b0-45c7-11e9-8ec0-7bf21d1cfe30.wav,52XVOeXMXYuaElyw,Change system language,change language,none,none
97,2389,wavs/speakers/mj4BWeRbp7ildyB9d/52ac16e0-452f-11e9-b1e4-e5985dca719e.wav,mj4BWeRbp7ildyB9d,Decrease the temperature in the bathroom,decrease,heat,washroom
98,23066,wavs/speakers/zZezMeg5XvcbRdg3/aabbd1d0-45df-11e9-81ce-69b74fd7e64e.wav,zZezMeg5XvcbRdg3,Turn down the heat in the washroom,decrease,heat,washroom
99,395,wavs/speakers/4BrX8aDqK2cLZRYl/3e85aca0-4532-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Increase the heating in the bathroom,increase,heat,washroom
100,11060,wavs/speakers/kxgXN97ALmHbaezp/af3d0490-4468-11e9-beaa-1f3e1eab7bff.wav,kxgXN97ALmHbaezp,Stop music,deactivate,music,none
101,11214,wavs/speakers/LR5vdbQgp3tlMBzB/c339b7b0-45ce-11e9-9992-dfba019cb646.wav,LR5vdbQgp3tlMBzB,Turn the lights off in the kitchen,deactivate,lights,kitchen
102,3648,wavs/speakers/anvKyBjB5OiP5dYZ/8352f420-4576-11e9-9600-8f19ade2128c.wav,anvKyBjB5OiP5dYZ,Lights off in the bedroom,deactivate,lights,bedroom
103,2489,wavs/speakers/8e5qRjN7dGuovkRY/0d571d00-4594-11e9-9600-8f19ade2128c.wav,8e5qRjN7dGuovkRY,Lights off,deactivate,lights,none
104,13788,wavs/speakers/oRrwPDNPlAieQr8Q/38fb4100-4519-11e9-9035-7943ec3b842a.wav,oRrwPDNPlAieQr8Q,Turn the bedroom lights off,deactivate,lights,bedroom
105,9525,wavs/speakers/jgxq52DoPpsR9ZRx/1ec2e9a0-4519-11e9-9035-7943ec3b842a.wav,jgxq52DoPpsR9ZRx,Bring me the newspaper,bring,newspaper,none
106,16359,wavs/speakers/RjDBre8jzzhdr4YL/08a80540-4412-11e9-85a0-dd11eb2f13b6.wav,RjDBre8jzzhdr4YL,Switch the lights off in the kitchen,deactivate,lights,kitchen
107,3209,wavs/speakers/V4ejqNL4xbUKkYrV/4d128310-45a5-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,Washroom heat up,increase,heat,washroom
108,8154,wavs/speakers/G3QxQd7qGRuXAZda/98eb8860-45e9-11e9-b578-494a5b19ab8b.wav,G3QxQd7qGRuXAZda,Turn down the temperature in the kitchen,decrease,heat,kitchen
109,14422,wavs/speakers/oXjpaOq4wVUezb3x/a0fe6d20-4511-11e9-9539-7f047cfe24d1.wav,oXjpaOq4wVUezb3x,Increase the heating in the washroom,increase,heat,washroom
110,15854,wavs/speakers/R3mXwwoaX9IoRVKe/435e5bd0-4548-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Switch on the washroom lights,activate,lights,washroom
111,19137,wavs/speakers/xEYa2wgAQof3wyEO/0058fae0-4537-11e9-b1e4-e5985dca719e.wav,xEYa2wgAQof3wyEO,Switch off the lights in the kitchen,deactivate,lights,kitchen
112,11206,wavs/speakers/LR5vdbQgp3tlMBzB/a70b5cb0-45ce-11e9-9992-dfba019cb646.wav,LR5vdbQgp3tlMBzB,Washroom lights on,activate,lights,washroom
113,947,wavs/speakers/7B4XmNppyrCK977p/46ab9eb0-45cf-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,Use a different language,change language,none,none
114,2164,wavs/speakers/73bEEYMKLwtmVwV43/1a8a9520-452f-11e9-b1e4-e5985dca719e.wav,73bEEYMKLwtmVwV43,I need to practice my Korean. Switch the language,change language,Korean,none
115,1823,wavs/speakers/NgQEvO2x7Vh3xy2xz/ff7148d0-45cc-11e9-9992-dfba019cb646.wav,NgQEvO2x7Vh3xy2xz,Turn the bedroom lights on,activate,lights,bedroom
116,1918,wavs/speakers/73bEEYMKLwtmVwV43/358e0180-452b-11e9-a843-8db76f4b5e29.wav,73bEEYMKLwtmVwV43,Set my phone's language to German,change language,German,none
117,19943,wavs/speakers/xRQE5VD7rRHVdyvM/808064d0-45c6-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Decrease the heating in the washroom,decrease,heat,washroom
118,21743,wavs/speakers/zaEBPeMY4NUbDnZy/4dc74aa0-44d5-11e9-a8b6-e96f2628bf65.wav,zaEBPeMY4NUbDnZy,Turn the heat up in the washroom,increase,heat,washroom
119,6706,wavs/speakers/DWmlpyg93YCXAXgE/f50c6740-4503-11e9-a1ea-79ca03012c0e.wav,DWmlpyg93YCXAXgE,Turn the lights on in the kitchen,activate,lights,kitchen
120,1007,wavs/speakers/aokxBz9LxXHzZzay/98d9b620-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,Switch off the lamp,deactivate,lamp,none
121,20584,wavs/speakers/xwzgmmv5ZOiVaxXz/ea7ccb50-452e-11e9-b1e4-e5985dca719e.wav,xwzgmmv5ZOiVaxXz,Could you increase the heating?,increase,heat,none
122,1379,wavs/speakers/5BEzPgPKe8taG9OB/7d870520-457d-11e9-9600-8f19ade2128c.wav,5BEzPgPKe8taG9OB,Set language to German,change language,German,none
123,13783,wavs/speakers/oRrwPDNPlAieQr8Q/fccc7460-4518-11e9-9035-7943ec3b842a.wav,oRrwPDNPlAieQr8Q,Turn on the bathroom lights,activate,lights,washroom
124,2987,wavs/speakers/V4ejqNL4xbUKkYrV/e773bc80-459b-11e9-bf4b-216bfa333ac2.wav,V4ejqNL4xbUKkYrV,Turn down the heat in the kitchen,decrease,heat,kitchen
125,13779,wavs/speakers/oRrwPDNPlAieQr8Q/e7905bc0-4518-11e9-9035-7943ec3b842a.wav,oRrwPDNPlAieQr8Q,Switch the bedroom lights on,activate,lights,bedroom
126,7851,wavs/speakers/G3QxQd7qGRuXAZda/3e88ad10-45e6-11e9-b578-494a5b19ab8b.wav,G3QxQd7qGRuXAZda,Turn the bathroom lights on,activate,lights,washroom
127,9658,wavs/speakers/jgxq52DoPpsR9ZRx/61b8d480-451a-11e9-9035-7943ec3b842a.wav,jgxq52DoPpsR9ZRx,Make it louder,increase,volume,none
128,12978,wavs/speakers/NWAAAQQZDXC5b9Mk/67127690-444b-11e9-beaa-1f3e1eab7bff.wav,NWAAAQQZDXC5b9Mk,Switch on the kitchen lights,activate,lights,kitchen
129,2659,wavs/speakers/NgXwdx5KkZI5GRWa/b32347b0-45e2-11e9-81ce-69b74fd7e64e.wav,NgXwdx5KkZI5GRWa,Bring shoes,bring,shoes,none
130,11602,wavs/speakers/M4ybygBlWqImBn9oZ/13539080-454e-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,Turn off the kitchen lights,deactivate,lights,kitchen
131,23020,wavs/speakers/zZezMeg5XvcbRdg3/b342bac0-45db-11e9-81ce-69b74fd7e64e.wav,zZezMeg5XvcbRdg3,Turn the heat up in the kitchen,increase,heat,kitchen
132,16274,wavs/speakers/R3mXwwoaX9IoRVKe/f0c3f640-4552-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Set language to German,change language,German,none
133,17949,wavs/speakers/W4XOzzNEbrtZz4dW/ede9ce40-44d0-11e9-a8b6-e96f2628bf65.wav,W4XOzzNEbrtZz4dW,Bring me the newspaper,bring,newspaper,none
134,16958,wavs/speakers/ro5AaKwypZIqNEp2/6c847200-4481-11e9-a9a5-5dbec3b8816a.wav,ro5AaKwypZIqNEp2,Set language to German,change language,German,none
135,3658,wavs/speakers/V4ZbwLm9G5irobWn/a5de0f40-4529-11e9-a843-8db76f4b5e29.wav,V4ZbwLm9G5irobWn,Volume lower,decrease,volume,none
136,740,wavs/speakers/2ojo7YRL7Gck83Z3/f0e61a70-45e5-11e9-b578-494a5b19ab8b.wav,2ojo7YRL7Gck83Z3,Fetch the newspaper,bring,newspaper,none
137,14324,wavs/speakers/oXjpaOq4wVUezb3x/a5160db0-4510-11e9-9539-7f047cfe24d1.wav,oXjpaOq4wVUezb3x,Play the music,activate,music,none
138,19780,wavs/speakers/xRQE5VD7rRHVdyvM/36a60fb0-45c4-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Turn the volume down,decrease,volume,none
139,2056,wavs/speakers/73bEEYMKLwtmVwV43/b30820d0-452d-11e9-b1e4-e5985dca719e.wav,73bEEYMKLwtmVwV43,Increase the temperature in the kitchen,increase,heat,kitchen
140,18833,wavs/speakers/X4vEl3glp9urv4GN/fffd61d0-4540-11e9-b1e4-e5985dca719e.wav,X4vEl3glp9urv4GN,Turn down the volume,decrease,volume,none
141,18002,wavs/speakers/W4XOzzNEbrtZz4dW/89bbca30-44d1-11e9-a8b6-e96f2628bf65.wav,W4XOzzNEbrtZz4dW,Switch on the lights,activate,lights,none
142,2773,wavs/speakers/Q4vMvpXkXBsqryvZ/9b96eca0-4515-11e9-9035-7943ec3b842a.wav,Q4vMvpXkXBsqryvZ,Switch the lights on,activate,lights,none
143,1741,wavs/speakers/NgQEvO2x7Vh3xy2xz/5a6aea10-45c9-11e9-8ec0-7bf21d1cfe30.wav,NgQEvO2x7Vh3xy2xz,Get me my socks,bring,socks,none
144,2238,wavs/speakers/mj4BWeRbp7ildyB9d/efcfb260-452a-11e9-a843-8db76f4b5e29.wav,mj4BWeRbp7ildyB9d,Turn the lamp on,activate,lamp,none
145,308,wavs/speakers/2ojo7YRL7Gck83Z3/608c8970-45de-11e9-81ce-69b74fd7e64e.wav,2ojo7YRL7Gck83Z3,Turn the volume up,increase,volume,none
