,path,speakerId,transcription,intent,intentLbl
41,../smart-lights-en-close-field/speech_corpus/audio/531.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,I'd like the lights to not be so bright,DecreaseBrightness,0
143,../smart-lights-en-close-field/speech_corpus/audio/880.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Please set the office to twenty two for the intensity,SetLightBrightness,2
73,../smart-lights-en-close-field/speech_corpus/audio/975.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Set all lamps to two in the laundry room.,SetLightBrightness,2
137,../smart-lights-en-close-field/speech_corpus/audio/818.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Please adjust the cubicle lights so it's brighter,IncreaseBrightness,1
0,../smart-lights-en-close-field/speech_corpus/audio/993.wav,143921a6-6caa-417f-bd7e-2732023270c1,Set the brightness in the kids room to level twenty two,SetLightBrightness,2
26,../smart-lights-en-close-field/speech_corpus/audio/1246.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn the brightness to thirty nine percent,SetLightBrightness,2
55,../smart-lights-en-close-field/speech_corpus/audio/1434.wav,143921a6-6caa-417f-bd7e-2732023270c1,i need light,SwitchLightOn,5
63,../smart-lights-en-close-field/speech_corpus/audio/947.wav,143921a6-6caa-417f-bd7e-2732023270c1,Put bathroom brightness to fifty,SetLightBrightness,2
69,../smart-lights-en-close-field/speech_corpus/audio/301.wav,143921a6-6caa-417f-bd7e-2732023270c1,Help me dim the lights,DecreaseBrightness,0
109,../smart-lights-en-close-field/speech_corpus/audio/1069.wav,143921a6-6caa-417f-bd7e-2732023270c1,Switch off the shed lights.,SwitchLightOff,4
138,../smart-lights-en-close-field/speech_corpus/audio/1372.wav,143921a6-6caa-417f-bd7e-2732023270c1,can you increase the brightness of the entire house,IncreaseBrightness,1
172,../smart-lights-en-close-field/speech_corpus/audio/625.wav,143921a6-6caa-417f-bd7e-2732023270c1,Kill the bathroom lights.,SwitchLightOff,4
187,../smart-lights-en-close-field/speech_corpus/audio/845.wav,143921a6-6caa-417f-bd7e-2732023270c1,Please get rid of the lights.,SwitchLightOff,4
196,../smart-lights-en-close-field/speech_corpus/audio/1615.wav,143921a6-6caa-417f-bd7e-2732023270c1,"there is no one in the living room, take the lights off",SwitchLightOff,4
200,../smart-lights-en-close-field/speech_corpus/audio/1164.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn lights on in the waiting room,SwitchLightOn,5
207,../smart-lights-en-close-field/speech_corpus/audio/1406.wav,143921a6-6caa-417f-bd7e-2732023270c1,decrease the light in the small meeting room,DecreaseBrightness,0
237,../smart-lights-en-close-field/speech_corpus/audio/606.wav,143921a6-6caa-417f-bd7e-2732023270c1,Is it okay for you to decrease the brightness of the lights.,DecreaseBrightness,0
279,../smart-lights-en-close-field/speech_corpus/audio/23.wav,143921a6-6caa-417f-bd7e-2732023270c1,Adjust the lights to the off setting.,SwitchLightOff,4
287,../smart-lights-en-close-field/speech_corpus/audio/1089.wav,143921a6-6caa-417f-bd7e-2732023270c1,The brightness should be ten in a bathroom,SetLightBrightness,2
297,../smart-lights-en-close-field/speech_corpus/audio/694.wav,143921a6-6caa-417f-bd7e-2732023270c1,Make laundry room light brightness twenty,SetLightBrightness,2
330,../smart-lights-en-close-field/speech_corpus/audio/1624.wav,143921a6-6caa-417f-bd7e-2732023270c1,turn down lights everywhere,DecreaseBrightness,0
341,../smart-lights-en-close-field/speech_corpus/audio/1533.wav,143921a6-6caa-417f-bd7e-2732023270c1,please increase the light brightness everywhere,IncreaseBrightness,1
426,../smart-lights-en-close-field/speech_corpus/audio/902.wav,143921a6-6caa-417f-bd7e-2732023270c1,Please turn my lights on,SwitchLightOn,5
429,../smart-lights-en-close-field/speech_corpus/audio/369.wav,143921a6-6caa-417f-bd7e-2732023270c1,I prefer if the lights are on now,SwitchLightOn,5
447,../smart-lights-en-close-field/speech_corpus/audio/78.wav,143921a6-6caa-417f-bd7e-2732023270c1,Can you dim the lights in the lounge,DecreaseBrightness,0
468,../smart-lights-en-close-field/speech_corpus/audio/1526.wav,143921a6-6caa-417f-bd7e-2732023270c1,please brighten up the dining room,SwitchLightOn,5
494,../smart-lights-en-close-field/speech_corpus/audio/302.wav,143921a6-6caa-417f-bd7e-2732023270c1,Help me dim the lights please.,DecreaseBrightness,0
552,../smart-lights-en-close-field/speech_corpus/audio/1596.wav,143921a6-6caa-417f-bd7e-2732023270c1,take all lights off  as soon as possible,SwitchLightOff,4
569,../smart-lights-en-close-field/speech_corpus/audio/1111.wav,143921a6-6caa-417f-bd7e-2732023270c1,The lights are too bright and i want it dimmed,DecreaseBrightness,0
597,../smart-lights-en-close-field/speech_corpus/audio/1557.wav,143921a6-6caa-417f-bd7e-2732023270c1,please turn on the lights of changing room,SwitchLightOn,5
611,../smart-lights-en-close-field/speech_corpus/audio/1604.wav,143921a6-6caa-417f-bd7e-2732023270c1,the large meeting room lights needs to be turned off,SwitchLightOff,4
646,../smart-lights-en-close-field/speech_corpus/audio/346.wav,143921a6-6caa-417f-bd7e-2732023270c1,I need the cella light turned off.,SwitchLightOff,4
661,../smart-lights-en-close-field/speech_corpus/audio/1412.wav,143921a6-6caa-417f-bd7e-2732023270c1,dim the lights in the garden,DecreaseBrightness,0
709,../smart-lights-en-close-field/speech_corpus/audio/1453.wav,143921a6-6caa-417f-bd7e-2732023270c1,increase the brightness of entrance,IncreaseBrightness,1
835,../smart-lights-en-close-field/speech_corpus/audio/1207.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn on my lights now,SwitchLightOn,5
912,../smart-lights-en-close-field/speech_corpus/audio/84.wav,143921a6-6caa-417f-bd7e-2732023270c1,Can you make it brighter inside?,IncreaseBrightness,1
947,../smart-lights-en-close-field/speech_corpus/audio/1646.wav,143921a6-6caa-417f-bd7e-2732023270c1,turn on the lights in the children room,SwitchLightOn,5
1010,../smart-lights-en-close-field/speech_corpus/audio/1350.wav,143921a6-6caa-417f-bd7e-2732023270c1,Would you switch my kitchen lighting to on?,SwitchLightOn,5
1057,../smart-lights-en-close-field/speech_corpus/audio/339.wav,143921a6-6caa-417f-bd7e-2732023270c1,I need my pantry set at ten brighntess,SetLightBrightness,2
1084,../smart-lights-en-close-field/speech_corpus/audio/860.wav,143921a6-6caa-417f-bd7e-2732023270c1,Please make it brighter,IncreaseBrightness,1
1112,../smart-lights-en-close-field/speech_corpus/audio/1647.wav,143921a6-6caa-417f-bd7e-2732023270c1,turn on the lights urgently,SwitchLightOn,5
1146,../smart-lights-en-close-field/speech_corpus/audio/1556.wav,143921a6-6caa-417f-bd7e-2732023270c1,please turn on the lights,SwitchLightOn,5
1222,../smart-lights-en-close-field/speech_corpus/audio/473.wav,143921a6-6caa-417f-bd7e-2732023270c1,I want this room at brightness level ten,SetLightBrightness,2
1234,../smart-lights-en-close-field/speech_corpus/audio/104.wav,143921a6-6caa-417f-bd7e-2732023270c1,Can you put lights on in the backyard?,SwitchLightOn,5
1243,../smart-lights-en-close-field/speech_corpus/audio/795.wav,143921a6-6caa-417f-bd7e-2732023270c1,Make the pantry five percent in brightness,SetLightBrightness,2
1252,../smart-lights-en-close-field/speech_corpus/audio/1272.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn the lights down in the living room. ,DecreaseBrightness,0
1264,../smart-lights-en-close-field/speech_corpus/audio/552.wav,143921a6-6caa-417f-bd7e-2732023270c1,In the basement turn the brightness to twenty,SetLightBrightness,2
1267,../smart-lights-en-close-field/speech_corpus/audio/159.wav,143921a6-6caa-417f-bd7e-2732023270c1,Change the basement brightness to two,SetLightBrightness,2
1273,../smart-lights-en-close-field/speech_corpus/audio/103.wav,143921a6-6caa-417f-bd7e-2732023270c1,Can you please turn down the lights.,DecreaseBrightness,0
1306,../smart-lights-en-close-field/speech_corpus/audio/1547.wav,143921a6-6caa-417f-bd7e-2732023270c1,"please the increase the brightness, it's too dark",IncreaseBrightness,1
1314,../smart-lights-en-close-field/speech_corpus/audio/462.wav,143921a6-6caa-417f-bd7e-2732023270c1,I want the parking lights off.,SwitchLightOff,4
1320,../smart-lights-en-close-field/speech_corpus/audio/465.wav,143921a6-6caa-417f-bd7e-2732023270c1,I want the room brighter,IncreaseBrightness,1
2,../smart-lights-en-close-field/speech_corpus/audio/334.wav,143921a6-6caa-417f-bd7e-2732023270c1,I need lights on over the toilets,SwitchLightOn,5
25,../smart-lights-en-close-field/speech_corpus/audio/268.wav,143921a6-6caa-417f-bd7e-2732023270c1,Dim the lights.,DecreaseBrightness,0
47,../smart-lights-en-close-field/speech_corpus/audio/1363.wav,143921a6-6caa-417f-bd7e-2732023270c1,boardroom is dark please turn on lights,SwitchLightOn,5
124,../smart-lights-en-close-field/speech_corpus/audio/797.wav,143921a6-6caa-417f-bd7e-2732023270c1,Make the patio brighter,IncreaseBrightness,1
129,../smart-lights-en-close-field/speech_corpus/audio/1534.wav,143921a6-6caa-417f-bd7e-2732023270c1,please increase the meeting room brightness,IncreaseBrightness,1
7,../smart-lights-en-close-field/speech_corpus/audio/360.wav,143921a6-6caa-417f-bd7e-2732023270c1,I need the lights to be dimmed.,DecreaseBrightness,0
14,../smart-lights-en-close-field/speech_corpus/audio/890.wav,143921a6-6caa-417f-bd7e-2732023270c1,Please switch on my cubicle light,SwitchLightOn,5
32,../smart-lights-en-close-field/speech_corpus/audio/1284.wav,143921a6-6caa-417f-bd7e-2732023270c1,Turn the lights off in the shed.,SwitchLightOff,4
41,../smart-lights-en-close-field/speech_corpus/audio/1549.wav,143921a6-6caa-417f-bd7e-2732023270c1,please turn lights on,SwitchLightOn,5
47,../smart-lights-en-close-field/speech_corpus/audio/764.wav,143921a6-6caa-417f-bd7e-2732023270c1,Make the lights dimmer please.,DecreaseBrightness,0
102,../smart-lights-en-close-field/speech_corpus/audio/569.wav,143921a6-6caa-417f-bd7e-2732023270c1,Increase brightness please,IncreaseBrightness,1
145,../smart-lights-en-close-field/speech_corpus/audio/453.wav,143921a6-6caa-417f-bd7e-2732023270c1,I want the lights to be dimmed.,DecreaseBrightness,0
77,../smart-lights-en-close-field/speech_corpus/audio/590.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the intensity of the lights,IncreaseBrightness,1
81,../smart-lights-en-close-field/speech_corpus/audio/1418.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,double the brightness,IncreaseBrightness,1
112,../smart-lights-en-close-field/speech_corpus/audio/607.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Is it possible for you to turn the lights up in the cellar for us,IncreaseBrightness,1
258,../smart-lights-en-close-field/speech_corpus/audio/1343.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,We need the bulbs turned brighter in this room,IncreaseBrightness,1
263,../smart-lights-en-close-field/speech_corpus/audio/601.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the lights in the toilets.,IncreaseBrightness,1
283,../smart-lights-en-close-field/speech_corpus/audio/1259.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Turn the garden lights up a notch.,IncreaseBrightness,1
317,../smart-lights-en-close-field/speech_corpus/audio/735.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Make the kids bedroom brighter with more light,IncreaseBrightness,1
350,../smart-lights-en-close-field/speech_corpus/audio/277.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Find the bulbs for the cellar and turn them up,IncreaseBrightness,1
394,../smart-lights-en-close-field/speech_corpus/audio/390.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,I want more brightness in the changing room,IncreaseBrightness,1
471,../smart-lights-en-close-field/speech_corpus/audio/853.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Please increase the brightness of the lights.,IncreaseBrightness,1
482,../smart-lights-en-close-field/speech_corpus/audio/577.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the brightness in the changing room.,IncreaseBrightness,1
534,../smart-lights-en-close-field/speech_corpus/audio/1450.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,increase the brightness,IncreaseBrightness,1
541,../smart-lights-en-close-field/speech_corpus/audio/744.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Make the light bulbs brighter please,IncreaseBrightness,1
548,../smart-lights-en-close-field/speech_corpus/audio/600.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the lights in the garden.,IncreaseBrightness,1
629,../smart-lights-en-close-field/speech_corpus/audio/581.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the brightness of the lights in the dining room.,IncreaseBrightness,1
768,../smart-lights-en-close-field/speech_corpus/audio/935.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Please turn up the lights a bit more,IncreaseBrightness,1
799,../smart-lights-en-close-field/speech_corpus/audio/603.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the lights please.,IncreaseBrightness,1
801,../smart-lights-en-close-field/speech_corpus/audio/572.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase light brightness.,IncreaseBrightness,1
863,../smart-lights-en-close-field/speech_corpus/audio/1162.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Turn lights in the laundry room brighter,IncreaseBrightness,1
1025,../smart-lights-en-close-field/speech_corpus/audio/1451.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,increase the brightness in here,IncreaseBrightness,1
1033,../smart-lights-en-close-field/speech_corpus/audio/675.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Make it a little brighter in the bedroom.,IncreaseBrightness,1
1062,../smart-lights-en-close-field/speech_corpus/audio/1311.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Turn the lights up a notch in the cellar.,IncreaseBrightness,1
1100,../smart-lights-en-close-field/speech_corpus/audio/1096.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,The garage lights need to be brighter,IncreaseBrightness,1
1102,../smart-lights-en-close-field/speech_corpus/audio/1512.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,make the studio lights brighter,IncreaseBrightness,1
1107,../smart-lights-en-close-field/speech_corpus/audio/580.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the brightness of the lights in the cellar,IncreaseBrightness,1
1245,../smart-lights-en-close-field/speech_corpus/audio/676.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Make it a little less dark in here.,IncreaseBrightness,1
1282,../smart-lights-en-close-field/speech_corpus/audio/582.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Increase the brightness of the lights in the entrance.,IncreaseBrightness,1
1295,../smart-lights-en-close-field/speech_corpus/audio/1112.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,The lights in the cellar need to be turned up,IncreaseBrightness,1
130,../smart-lights-en-close-field/speech_corpus/audio/1262.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Turn the kitchen lights on brighter,IncreaseBrightness,1
163,../smart-lights-en-close-field/speech_corpus/audio/706.wav,1eef6acf-9a01-41c3-b118-b43ea5de6f9b,Make sure the hallway lights are increased in brightness,IncreaseBrightness,1
262,../smart-lights-en-close-field/speech_corpus/audio/204.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Change the office light to pink,SetLightColor,3
323,../smart-lights-en-close-field/speech_corpus/audio/175.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Change the garage lights to pink.,SetLightColor,3
922,../smart-lights-en-close-field/speech_corpus/audio/184.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Change the light to blue,SetLightColor,3
936,../smart-lights-en-close-field/speech_corpus/audio/57.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Can we change the lights to anything but pink?,SetLightColor,3
955,../smart-lights-en-close-field/speech_corpus/audio/420.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,I want the kids lights to be pink.,SetLightColor,3
980,../smart-lights-en-close-field/speech_corpus/audio/476.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,I want to change the light green,SetLightColor,3
1208,../smart-lights-en-close-field/speech_corpus/audio/751.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Make the light in the dining room red,SetLightColor,3
1266,../smart-lights-en-close-field/speech_corpus/audio/373.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,I think the lights should be pink.,SetLightColor,3
1310,../smart-lights-en-close-field/speech_corpus/audio/786.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,"Make the lights red
",SetLightColor,3
140,../smart-lights-en-close-field/speech_corpus/audio/305.wav,1fe5c7f1-c8e1-4af9-bc34-1c7427ccc1b2,Help me make the entire house pink,SetLightColor,3
5,../smart-lights-en-close-field/speech_corpus/audio/543.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I'd prefer the laundry room lights to be turned to green,SetLightColor,3
14,../smart-lights-en-close-field/speech_corpus/audio/652.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Lights out please,SwitchLightOff,4
25,../smart-lights-en-close-field/speech_corpus/audio/805.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,More light please,IncreaseBrightness,1
32,../smart-lights-en-close-field/speech_corpus/audio/398.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want red lights please,SetLightColor,3
35,../smart-lights-en-close-field/speech_corpus/audio/953.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Put the cellar lights to off,SwitchLightOff,4
60,../smart-lights-en-close-field/speech_corpus/audio/1233.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn studio lights on,SwitchLightOn,5
65,../smart-lights-en-close-field/speech_corpus/audio/1396.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,changing room lights off please,SwitchLightOff,4
74,../smart-lights-en-close-field/speech_corpus/audio/1456.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,increase the brightness on the patio.,IncreaseBrightness,1
85,../smart-lights-en-close-field/speech_corpus/audio/423.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the light color changed to red,SetLightColor,3
99,../smart-lights-en-close-field/speech_corpus/audio/311.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Help me set the entrance light to two,SetLightBrightness,2
134,../smart-lights-en-close-field/speech_corpus/audio/768.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make the lights green please.,SetLightColor,3
135,../smart-lights-en-close-field/speech_corpus/audio/323.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I don't want the lights on anymore,SwitchLightOff,4
136,../smart-lights-en-close-field/speech_corpus/audio/695.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make lights brighter.,IncreaseBrightness,1
142,../smart-lights-en-close-field/speech_corpus/audio/555.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,In the cubicle and switch off the lights,SwitchLightOff,4
146,../smart-lights-en-close-field/speech_corpus/audio/1165.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn lights on over the toilet,SwitchLightOn,5
162,../smart-lights-en-close-field/speech_corpus/audio/1067.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Switch off the lights,SwitchLightOff,4
163,../smart-lights-en-close-field/speech_corpus/audio/292.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Go straight and turn on the lights,SwitchLightOn,5
168,../smart-lights-en-close-field/speech_corpus/audio/93.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you make the lights in the office green?,SetLightColor,3
174,../smart-lights-en-close-field/speech_corpus/audio/1405.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,decrease lights in laundry room to all the way off,SwitchLightOff,4
179,../smart-lights-en-close-field/speech_corpus/audio/1231.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn out the cellar lights,SwitchLightOff,4
181,../smart-lights-en-close-field/speech_corpus/audio/1211.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn on the bed room lights,SwitchLightOn,5
184,../smart-lights-en-close-field/speech_corpus/audio/1602.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"the house is getting too little light, turn up the brightness please",IncreaseBrightness,1
188,../smart-lights-en-close-field/speech_corpus/audio/618.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"It's too bright, bring the lights down",DecreaseBrightness,0
193,../smart-lights-en-close-field/speech_corpus/audio/87.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you make the brightness twelve?,SetLightBrightness,2
194,../smart-lights-en-close-field/speech_corpus/audio/1568.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,set the bedroom lights to thirty nine,SetLightBrightness,2
195,../smart-lights-en-close-field/speech_corpus/audio/119.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you switch on my appartment lights,SwitchLightOn,5
206,../smart-lights-en-close-field/speech_corpus/audio/79.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you increase the brightness of the lights in the bed room?,IncreaseBrightness,1
209,../smart-lights-en-close-field/speech_corpus/audio/436.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I want the lights in the bed room on.,SwitchLightOn,5
213,../smart-lights-en-close-field/speech_corpus/audio/499.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I would like the lights less bright,DecreaseBrightness,0
216,../smart-lights-en-close-field/speech_corpus/audio/1558.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,please turn the pantry lights to level thirty nine,SetLightBrightness,2
220,../smart-lights-en-close-field/speech_corpus/audio/1298.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn the lights on in the studio,SwitchLightOn,5
222,../smart-lights-en-close-field/speech_corpus/audio/1490.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,lounge lights on please,SwitchLightOn,5
226,../smart-lights-en-close-field/speech_corpus/audio/321.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I don't want the backyard lights to be on.,SwitchLightOff,4
238,../smart-lights-en-close-field/speech_corpus/audio/272.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Don't forget to turn off the lights in the studio,SwitchLightOff,4
256,../smart-lights-en-close-field/speech_corpus/audio/563.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,In the lounge change it to level two,SetLightBrightness,2
269,../smart-lights-en-close-field/speech_corpus/audio/1635.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,turn off lights in loo,SwitchLightOff,4
271,../smart-lights-en-close-field/speech_corpus/audio/157.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Change the backyard light to green,SetLightColor,3
281,../smart-lights-en-close-field/speech_corpus/audio/154.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Change loo lights to pink for me,SetLightColor,3
291,../smart-lights-en-close-field/speech_corpus/audio/1612.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,the shed needs more light,IncreaseBrightness,1
302,../smart-lights-en-close-field/speech_corpus/audio/1113.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,The lights in the garage need to be switched off.,SwitchLightOff,4
309,../smart-lights-en-close-field/speech_corpus/audio/909.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Please turn off the lights in the bedroom.,SwitchLightOff,4
316,../smart-lights-en-close-field/speech_corpus/audio/210.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Click on the lights,SwitchLightOn,5
321,../smart-lights-en-close-field/speech_corpus/audio/809.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,No more lights in the garden.,SwitchLightOff,4
327,../smart-lights-en-close-field/speech_corpus/audio/777.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Make the lights in the toilets brighter,IncreaseBrightness,1
335,../smart-lights-en-close-field/speech_corpus/audio/168.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Change the color of the lights to blue in the dining room.,SetLightColor,3
337,../smart-lights-en-close-field/speech_corpus/audio/68.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Can you change the lights to pink,SetLightColor,3
347,../smart-lights-en-close-field/speech_corpus/audio/156.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Change office lights to pink please.,SetLightColor,3
351,../smart-lights-en-close-field/speech_corpus/audio/1610.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,"the office is a little too dark, please turn on the lights",IncreaseBrightness,1
354,../smart-lights-en-close-field/speech_corpus/audio/1256.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,Turn the entrance lights on.,SwitchLightOn,5
