audio path,predicted_words
../smart-lights-en-close-field/speech_corpus/audio/1233.wav,turn studio lights on
../smart-lights-en-close-field/speech_corpus/audio/1477.wav,lights at 73 in the bedroom please
../smart-lights-en-close-field/speech_corpus/audio/858.wav,please lower the lights in the room
../smart-lights-en-close-field/speech_corpus/audio/947.wav,put bathroom brightness to 50
../smart-lights-en-close-field/speech_corpus/audio/661.wav,lower the brightness in the cubicle
../smart-lights-en-close-field/speech_corpus/audio/1396.wav,changing room lights off please
../smart-lights-en-close-field/speech_corpus/audio/1506.wav,make the lights
../smart-lights-en-close-field/speech_corpus/audio/1390.wav,change lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/48.wav,Live Nation with a people person
../smart-lights-en-close-field/speech_corpus/audio/301.wav,tell me dim the lights
../smart-lights-en-close-field/speech_corpus/audio/1374.wav,can you make the light go Blue
../smart-lights-en-close-field/speech_corpus/audio/1368.wav,can you give me some light please in the kitchen
../smart-lights-en-close-field/speech_corpus/audio/614.wav,is there any way you can change the lights to be blue
../smart-lights-en-close-field/speech_corpus/audio/484.wav,I want to turn off the patio lamps
../smart-lights-en-close-field/speech_corpus/audio/1456.wav,increase the brightness on the patio
../smart-lights-en-close-field/speech_corpus/audio/1408.wav,dim the bedroom lights
../smart-lights-en-close-field/speech_corpus/audio/1027.wav,set the lights to a lower intensity
../smart-lights-en-close-field/speech_corpus/audio/590.wav,increase the intensity of the lights
../smart-lights-en-close-field/speech_corpus/audio/807.wav,lower the brightness setting in the dining room to 5
../smart-lights-en-close-field/speech_corpus/audio/503.wav,I would like the vegetable to be big
../smart-lights-en-close-field/speech_corpus/audio/1482.wav,lights off in the toilet
../smart-lights-en-close-field/speech_corpus/audio/1418.wav,double the brightness
../smart-lights-en-close-field/speech_corpus/audio/45.wav,brighten up the cubicle
../smart-lights-en-close-field/speech_corpus/audio/1317.wav,turn the living room lights up
../smart-lights-en-close-field/speech_corpus/audio/1214.wav,turn on the laundry room lighting
../smart-lights-en-close-field/speech_corpus/audio/423.wav,I want the light color change to red
../smart-lights-en-close-field/speech_corpus/audio/516.wav,I think the brightness turned down
../smart-lights-en-close-field/speech_corpus/audio/467.wav,what the toilet lights off
../smart-lights-en-close-field/speech_corpus/audio/1659.wav,turn the lights up
../smart-lights-en-close-field/speech_corpus/audio/198.wav,change the lights to Green please
../smart-lights-en-close-field/speech_corpus/audio/1144.wav,turn down the light power in the pantry all the way
../smart-lights-en-close-field/speech_corpus/audio/1632.wav,turn off all bedroom lamps please
../smart-lights-en-close-field/speech_corpus/audio/1051.wav,shut the lights off
../smart-lights-en-close-field/speech_corpus/audio/399.wav,I want the bathroom to be more damn
../smart-lights-en-close-field/speech_corpus/audio/1060.wav,stop the lights
../smart-lights-en-close-field/speech_corpus/audio/683.wav,make it brighter in the large meeting room
../smart-lights-en-close-field/speech_corpus/audio/55.wav,turn the living room lights be turned off
../smart-lights-en-close-field/speech_corpus/audio/233.wav,decrease light brightness in kitchen
../smart-lights-en-close-field/speech_corpus/audio/632.wav,let's have red lights
../smart-lights-en-close-field/speech_corpus/audio/311.wav,help me set the entrance light to two
../smart-lights-en-close-field/speech_corpus/audio/707.wav,make sure the lights brighter so I can see
../smart-lights-en-close-field/speech_corpus/audio/1218.wav,turn on the lights in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/1445.wav,in the backyard lights need to be pink
../smart-lights-en-close-field/speech_corpus/audio/556.wav,in the entrance change the colors to red
../smart-lights-en-close-field/speech_corpus/audio/900.wav,please turn lights Red in large meeting room
../smart-lights-en-close-field/speech_corpus/audio/112.wav,can you set the brightness to 22 for the entire house
../smart-lights-en-close-field/speech_corpus/audio/932.wav,please turn the patio lights up for me
../smart-lights-en-close-field/speech_corpus/audio/1636.wav,turn off the lamps
../smart-lights-en-close-field/speech_corpus/audio/946.wav,power the office light
../smart-lights-en-close-field/speech_corpus/audio/1069.wav,switch off the shed lights
../smart-lights-en-close-field/speech_corpus/audio/1431.wav,help me turn down the light in the cellar
../smart-lights-en-close-field/speech_corpus/audio/1267.wav,turn the light on in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/607.wav,is it possible for you to turn the lights up in the cellar Forest
../smart-lights-en-close-field/speech_corpus/audio/564.wav,in the lounge turn the lights off
../smart-lights-en-close-field/speech_corpus/audio/944.wav,how are the cubicle lance210
../smart-lights-en-close-field/speech_corpus/audio/1329.wav,turn up the lighting
../smart-lights-en-close-field/speech_corpus/audio/1188.wav,turn off the lights in the Atari Flashback
../smart-lights-en-close-field/speech_corpus/audio/1181.wav,turn off the lights for me
../smart-lights-en-close-field/speech_corpus/audio/460.wav,I want the lights turn down the bedroom
../smart-lights-en-close-field/speech_corpus/audio/1664.wav,turn up the brightness in the patio
../smart-lights-en-close-field/speech_corpus/audio/873.wav,please set it to 5
../smart-lights-en-close-field/speech_corpus/audio/961.wav,put the lights to 12% in the bathroom
../smart-lights-en-close-field/speech_corpus/audio/883.wav,she said the toilet room light to two
../smart-lights-en-close-field/speech_corpus/audio/1213.wav,turn on the entrance lights
../smart-lights-en-close-field/speech_corpus/audio/349.wav,need the light to be brighter
../smart-lights-en-close-field/speech_corpus/audio/1645.wav,turn on the lights in the bed
../smart-lights-en-close-field/speech_corpus/audio/195.wav,change the lights in the parking room
../smart-lights-en-close-field/speech_corpus/audio/1485.wav,why it should be set at level 22
../smart-lights-en-close-field/speech_corpus/audio/290.wav,go ahead and turn the lodge meeting
../smart-lights-en-close-field/speech_corpus/audio/111.wav,can you set the back up to 73
../smart-lights-en-close-field/speech_corpus/audio/139.wav,can you turn the lights off
../smart-lights-en-close-field/speech_corpus/audio/325.wav,I don't want the lights on
../smart-lights-en-close-field/speech_corpus/audio/205.wav,turn the office lights to 50
../smart-lights-en-close-field/speech_corpus/audio/338.wav,need my bedroom lights lower
../smart-lights-en-close-field/speech_corpus/audio/768.wav,make the lights green please
../smart-lights-en-close-field/speech_corpus/audio/323.wav,I don't want the lights on anymore
../smart-lights-en-close-field/speech_corpus/audio/695.wav,make lights brighter
../smart-lights-en-close-field/speech_corpus/audio/1308.wav,turn the lights to a lower setting
../smart-lights-en-close-field/speech_corpus/audio/1372.wav,can you increase the brightness of the entire house
../smart-lights-en-close-field/speech_corpus/audio/376.wav,green light
../smart-lights-en-close-field/speech_corpus/audio/561.wav,in the laundry room turn down the light power
../smart-lights-en-close-field/speech_corpus/audio/609.wav,is it possible to turn down the brightness in the kids bedroom
../smart-lights-en-close-field/speech_corpus/audio/555.wav,and the cubicle and switch off the lights
../smart-lights-en-close-field/speech_corpus/audio/879.wav,please set the office lights down
../smart-lights-en-close-field/speech_corpus/audio/819.wav,please adjust the light brightness to go lower please
../smart-lights-en-close-field/speech_corpus/audio/501.wav,I would like the lights turned off
../smart-lights-en-close-field/speech_corpus/audio/1165.wav,turn lights on over the toilet
../smart-lights-en-close-field/speech_corpus/audio/1168.wav,turn on meeting room lights off
../smart-lights-en-close-field/speech_corpus/audio/1385.wav,change the color of bathroom lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/234.wav,decrease light brightness please
../smart-lights-en-close-field/speech_corpus/audio/1064.wav,switch off for exterior lighting
../smart-lights-en-close-field/speech_corpus/audio/1097.wav,the garage should have it slide down up now
../smart-lights-en-close-field/speech_corpus/audio/963.wav,what the parking guidance at 20
../smart-lights-en-close-field/speech_corpus/audio/1416.wav,dining room needs to be at 12%
../smart-lights-en-close-field/speech_corpus/audio/16.wav,adjust the Sala lights to 22
../smart-lights-en-close-field/speech_corpus/audio/1590.wav,switch off the light in the toilet
../smart-lights-en-close-field/speech_corpus/audio/1283.wav,turn the lights off in the office
../smart-lights-en-close-field/speech_corpus/audio/342.wav,I need some light please in the kitchen
../smart-lights-en-close-field/speech_corpus/audio/1241.wav,turn the brightness down
../smart-lights-en-close-field/speech_corpus/audio/1540.wav,resume light
../smart-lights-en-close-field/speech_corpus/audio/1044.wav,shut off the lights at the entrance
../smart-lights-en-close-field/speech_corpus/audio/725.wav,make the cubicle less bright
../smart-lights-en-close-field/speech_corpus/audio/1067.wav,switch off the lights
../smart-lights-en-close-field/speech_corpus/audio/292.wav,go straight and turn on the lights
../smart-lights-en-close-field/speech_corpus/audio/989.wav,set the bathroom lights to the on position
../smart-lights-en-close-field/speech_corpus/audio/927.wav,please turn the lights down
../smart-lights-en-close-field/speech_corpus/audio/762.wav,make the lights brighter in the studio
../smart-lights-en-close-field/speech_corpus/audio/258.wav,dim the lighting completely in the waiting room
../smart-lights-en-close-field/speech_corpus/audio/93.wav,can you make the lights in the office Green
../smart-lights-en-close-field/speech_corpus/audio/1109.wav,the lights need to be damn
../smart-lights-en-close-field/speech_corpus/audio/1424.wav,get the lights on now please
../smart-lights-en-close-field/speech_corpus/audio/1269.wav,Turn the Lights blue
../smart-lights-en-close-field/speech_corpus/audio/625.wav,the bathroom lights
../smart-lights-en-close-field/speech_corpus/audio/1625.wav,turn down the brightness level of light bulbs
../smart-lights-en-close-field/speech_corpus/audio/1405.wav,decrease lights in laundry room through all the way off
../smart-lights-en-close-field/speech_corpus/audio/437.wav,I want the lights in the bedroom set to 5
../smart-lights-en-close-field/speech_corpus/audio/1475.wav,lacing of vindaloo
../smart-lights-en-close-field/speech_corpus/audio/1242.wav,turn the brightness down in the living room
../smart-lights-en-close-field/speech_corpus/audio/598.wav,increase the lighting intensity please
../smart-lights-en-close-field/speech_corpus/audio/1231.wav,turn out the cellar lights
../smart-lights-en-close-field/speech_corpus/audio/1375.wav,can you please turn on the lights
../smart-lights-en-close-field/speech_corpus/audio/1211.wav,turn on the bedroom lights
../smart-lights-en-close-field/speech_corpus/audio/1224.wav,turn on the lights please
../smart-lights-en-close-field/speech_corpus/audio/1059.wav,stop the lights to be on
../smart-lights-en-close-field/speech_corpus/audio/1602.wav,the house is getting too little light turn up the brightness please
../smart-lights-en-close-field/speech_corpus/audio/787.wav,make the lights the color red
../smart-lights-en-close-field/speech_corpus/audio/1125.wav,turn on light mode
../smart-lights-en-close-field/speech_corpus/audio/845.wav,please get rid of the lights
../smart-lights-en-close-field/speech_corpus/audio/618.wav,it's too bright bring the lights down
../smart-lights-en-close-field/speech_corpus/audio/148.wav,turn light color to Pink
../smart-lights-en-close-field/speech_corpus/audio/623.wav,too dark in the waiting room
../smart-lights-en-close-field/speech_corpus/audio/1514.wav,modify the color of all light bulbs
../smart-lights-en-close-field/speech_corpus/audio/1474.wav,light up garage
../smart-lights-en-close-field/speech_corpus/audio/87.wav,can you make the brightness 12
../smart-lights-en-close-field/speech_corpus/audio/1568.wav,set the bedroom lights to thirty nine
../smart-lights-en-close-field/speech_corpus/audio/119.wav,can you switch on my apartment lights
../smart-lights-en-close-field/speech_corpus/audio/1615.wav,there is no one in the living room take the lights off
../smart-lights-en-close-field/speech_corpus/audio/40.wav,boost the brightness of the lights
../smart-lights-en-close-field/speech_corpus/audio/52.wav,can the changing room lights be turned on
../smart-lights-en-close-field/speech_corpus/audio/1197.wav,turn off all alarms lights
../smart-lights-en-close-field/speech_corpus/audio/1164.wav,turn lights on in the waiting room
../smart-lights-en-close-field/speech_corpus/audio/512.wav,I like more Lighting in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/592.wav,increase the light intensity
../smart-lights-en-close-field/speech_corpus/audio/857.wav,please lower the brightness for me
../smart-lights-en-close-field/speech_corpus/audio/980.wav,set lights to Green
../smart-lights-en-close-field/speech_corpus/audio/1554.wav,please turn off the lights
../smart-lights-en-close-field/speech_corpus/audio/79.wav,can you increase the brightness of the lights in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/1406.wav,decrease the light in the small meeting room
../smart-lights-en-close-field/speech_corpus/audio/554.wav,in the changing room turn down the light power
../smart-lights-en-close-field/speech_corpus/audio/436.wav,I want the lights in the bedroom on
../smart-lights-en-close-field/speech_corpus/audio/1355.wav,all lights off please
../smart-lights-en-close-field/speech_corpus/audio/1611.wav,the parking area need the lights off
../smart-lights-en-close-field/speech_corpus/audio/521.wav,I'd like the light to increase in the pantry
../smart-lights-en-close-field/speech_corpus/audio/499.wav,I would like the lights less bright
../smart-lights-en-close-field/speech_corpus/audio/80.wav,can you increase the brightness
../smart-lights-en-close-field/speech_corpus/audio/804.wav,may you change the light to Pink please
../smart-lights-en-close-field/speech_corpus/audio/1558.wav,turn the pantry lights to level 39
../smart-lights-en-close-field/speech_corpus/audio/336.wav,I need more light here
../smart-lights-en-close-field/speech_corpus/audio/1334.wav,turn up the lights in the kitchen
../smart-lights-en-close-field/speech_corpus/audio/892.wav,please switch the color of the light to be red please
../smart-lights-en-close-field/speech_corpus/audio/1298.wav,turn the lights on in the studio
../smart-lights-en-close-field/speech_corpus/audio/341.wav,I need some light please
../smart-lights-en-close-field/speech_corpus/audio/1490.wav,Lounge lights on please
../smart-lights-en-close-field/speech_corpus/audio/1467.wav,kitchen no more lights
../smart-lights-en-close-field/speech_corpus/audio/1324.wav,turn on the waiting room brightness to 2
../smart-lights-en-close-field/speech_corpus/audio/439.wav,I want the lights in the pantry to be pink
../smart-lights-en-close-field/speech_corpus/audio/321.wav,I don't want backyard lights to be on
../smart-lights-en-close-field/speech_corpus/audio/1430.wav,help me turn down the light
../smart-lights-en-close-field/speech_corpus/audio/1359.wav,bottom is too dark increase the brightness
../smart-lights-en-close-field/speech_corpus/audio/539.wav,I'd like to lower the lights in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/298.wav,help me change the color blue
../smart-lights-en-close-field/speech_corpus/audio/696.wav,make lights dimmer
../smart-lights-en-close-field/speech_corpus/audio/352.wav,I need the lights in my kids bedroom to be set at 20
../smart-lights-en-close-field/speech_corpus/audio/767.wav,make the lights green
../smart-lights-en-close-field/speech_corpus/audio/152.wav,change the lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/1315.wav,turn the lights up in the studio
../smart-lights-en-close-field/speech_corpus/audio/1151.wav,turn down the lights in the cellar
../smart-lights-en-close-field/speech_corpus/audio/606.wav,is it okay for you to decrease the brightness of the lights
../smart-lights-en-close-field/speech_corpus/audio/272.wav,don't forget to turn off the lights in the studio
../smart-lights-en-close-field/speech_corpus/audio/1433.wav,I cannot stand Darkness turn up the brightness now
../smart-lights-en-close-field/speech_corpus/audio/1038.wav,shine some light meaning
../smart-lights-en-close-field/speech_corpus/audio/1384.wav,change brightness of Lights in the toilet to 20%
../smart-lights-en-close-field/speech_corpus/audio/587.wav,Grease the cubicles volume intensity
../smart-lights-en-close-field/speech_corpus/audio/226.wav,shut off power to garden light
../smart-lights-en-close-field/speech_corpus/audio/709.wav,make the backyard brazier
../smart-lights-en-close-field/speech_corpus/audio/885.wav,please shut off the lights above the toilet
../smart-lights-en-close-field/speech_corpus/audio/409.wav,I want the cellar lights off
../smart-lights-en-close-field/speech_corpus/audio/833.wav,please change the light green
../smart-lights-en-close-field/speech_corpus/audio/727.wav,make the cubicle lighting to be dimmer
../smart-lights-en-close-field/speech_corpus/audio/1603.wav,the kitchen should not be so bright
../smart-lights-en-close-field/speech_corpus/audio/775.wav,make the lights in the room lower
../smart-lights-en-close-field/speech_corpus/audio/1567.wav,set light at level 22
../smart-lights-en-close-field/speech_corpus/audio/1550.wav,please turn off laundry room light
../smart-lights-en-close-field/speech_corpus/audio/468.wav,I want the toilet lights to be at 12
../smart-lights-en-close-field/speech_corpus/audio/1101.wav,the lodge meeting room is too dark I must be made brighter
../smart-lights-en-close-field/speech_corpus/audio/1642.wav,turn on the changing room lights
../smart-lights-en-close-field/speech_corpus/audio/563.wav,in the lounge change it to level two
../smart-lights-en-close-field/speech_corpus/audio/1383.wav,bedroom lighting to Pink
../smart-lights-en-close-field/speech_corpus/audio/1343.wav,we need the bolts turned brighter in this room
../smart-lights-en-close-field/speech_corpus/audio/1156.wav,turn down the lights in the waiting room
../smart-lights-en-close-field/speech_corpus/audio/1499.wav,make it darker in the waiting room
../smart-lights-en-close-field/speech_corpus/audio/1395.wav,Gangstar Vegas
../smart-lights-en-close-field/speech_corpus/audio/204.wav,change the office light to Pink
../smart-lights-en-close-field/speech_corpus/audio/601.wav,increase the lights in the toilet
../smart-lights-en-close-field/speech_corpus/audio/193.wav,change the lights in the kids bedroom to Blue
../smart-lights-en-close-field/speech_corpus/audio/1177.wav,turn off the lighting
../smart-lights-en-close-field/speech_corpus/audio/1010.wav,set the festivities lights to 39
../smart-lights-en-close-field/speech_corpus/audio/1435.wav,I need lights on in the kids room
../smart-lights-en-close-field/speech_corpus/audio/408.wav,I want the cellar light on
../smart-lights-en-close-field/speech_corpus/audio/1635.wav,turn off lights in Lu
../smart-lights-en-close-field/speech_corpus/audio/259.wav,dim the lights
../smart-lights-en-close-field/speech_corpus/audio/157.wav,change the backyard light to Green
../smart-lights-en-close-field/speech_corpus/audio/1656.wav,turn the lights down
../smart-lights-en-close-field/speech_corpus/audio/813.wav,once you enter the laundry room turn on the lights
../smart-lights-en-close-field/speech_corpus/audio/1266.wav,turn the light on
../smart-lights-en-close-field/speech_corpus/audio/1178.wav,turn off the lights
../smart-lights-en-close-field/speech_corpus/audio/227.wav,cut the waiting room lights
../smart-lights-en-close-field/speech_corpus/audio/1337.wav,turn up the lights in the patio
../smart-lights-en-close-field/speech_corpus/audio/714.wav,make the bedroom light dimmer
../smart-lights-en-close-field/speech_corpus/audio/23.wav,adjust the lights to the off setting
../smart-lights-en-close-field/speech_corpus/audio/502.wav,I would like the lunch light on
../smart-lights-en-close-field/speech_corpus/audio/154.wav,change the lights to Pink for me
../smart-lights-en-close-field/speech_corpus/audio/445.wav,I want the lights on at the two sitting
../smart-lights-en-close-field/speech_corpus/audio/1259.wav,turn the garden lights up a notch
../smart-lights-en-close-field/speech_corpus/audio/1049.wav,shut the lights down in the bathroom
../smart-lights-en-close-field/speech_corpus/audio/1271.wav,turn the lights down in the dining room
../smart-lights-en-close-field/speech_corpus/audio/1037.wav,set the vestibule lights to level 39
../smart-lights-en-close-field/speech_corpus/audio/1089.wav,the brightness should be 10 in a bathroom
../smart-lights-en-close-field/speech_corpus/audio/1245.wav,turn the brightness to level 12
../smart-lights-en-close-field/speech_corpus/audio/546.wav,I would prefer the tallest lighting to be at level 12
../smart-lights-en-close-field/speech_corpus/audio/109.wav,could you set the bathroom brightness level 239
../smart-lights-en-close-field/speech_corpus/audio/1612.wav,Richard needs more light
../smart-lights-en-close-field/speech_corpus/audio/1095.wav,the dining room is too bright
../smart-lights-en-close-field/speech_corpus/audio/1631.wav,turn lights on in house
../smart-lights-en-close-field/speech_corpus/audio/1437.wav,London our meeting room to be blue
../smart-lights-en-close-field/speech_corpus/audio/575.wav,increase Lighting in small meeting room
../smart-lights-en-close-field/speech_corpus/audio/664.wav,lower the intensity of the lights
../smart-lights-en-close-field/speech_corpus/audio/694.wav,make laundry room light brightness 20
../smart-lights-en-close-field/speech_corpus/audio/133.wav,can you turn the brightness down in the backyard
../smart-lights-en-close-field/speech_corpus/audio/1565.wav,set brightness of house to 50
../smart-lights-en-close-field/speech_corpus/audio/50.wav,bring Darkness to this room by turning off the lights
../smart-lights-en-close-field/speech_corpus/audio/384.wav,I want Lighting in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/1113.wav,lights in the garage need to be switched off
../smart-lights-en-close-field/speech_corpus/audio/1379.wav,can you turn off the kids bedroom lights
../smart-lights-en-close-field/speech_corpus/audio/1297.wav,turn the lights on in the small meeting room
../smart-lights-en-close-field/speech_corpus/audio/344.wav,I need some lights in the kitchen
../smart-lights-en-close-field/speech_corpus/audio/911.wav,please turn off the lights in this room
../smart-lights-en-close-field/speech_corpus/audio/894.wav,distance to that green light
../smart-lights-en-close-field/speech_corpus/audio/1345.wav,increase the brightness please
../smart-lights-en-close-field/speech_corpus/audio/909.wav,please turn off the lights in the bedroom
../smart-lights-en-close-field/speech_corpus/audio/1290.wav,turn the lights on everywhere
../smart-lights-en-close-field/speech_corpus/audio/189.wav,change the lighting to 50 in the facility
../smart-lights-en-close-field/speech_corpus/audio/38.wav,be sure the lights are completely darkened by the toilet
../smart-lights-en-close-field/speech_corpus/audio/645.wav,play for in Chains please
../smart-lights-en-close-field/speech_corpus/audio/532.wav,I'd like the lights turned down in the kids room
../smart-lights-en-close-field/speech_corpus/audio/1548.wav,please turn down the light for me
../smart-lights-en-close-field/speech_corpus/audio/210.wav,click on the lights
../smart-lights-en-close-field/speech_corpus/audio/735.wav,make the kids bedroom brighter with more light
../smart-lights-en-close-field/speech_corpus/audio/1344.wav,what do I need to do to get the dining room to 50 brightness
../smart-lights-en-close-field/speech_corpus/audio/928.wav,please turn the lights off
../smart-lights-en-close-field/speech_corpus/audio/179.wav,change the laundry room lights to Green
../smart-lights-en-close-field/speech_corpus/audio/809.wav,no more lights in the garden
../smart-lights-en-close-field/speech_corpus/audio/1314.wav,turn the lights up in the loop
../smart-lights-en-close-field/speech_corpus/audio/175.wav,change the garage lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/1201.wav,turn on bedroom light
../smart-lights-en-close-field/speech_corpus/audio/1206.wav,turn on living room.
../smart-lights-en-close-field/speech_corpus/audio/1575.wav,shut off the kitchen light
../smart-lights-en-close-field/speech_corpus/audio/777.wav,make the lights in the toilet spider
../smart-lights-en-close-field/speech_corpus/audio/1481.wav,lights off in the garden
../smart-lights-en-close-field/speech_corpus/audio/1145.wav,turn down the light in the kids bedroom
../smart-lights-en-close-field/speech_corpus/audio/1624.wav,turn down lights everywhere
../smart-lights-en-close-field/speech_corpus/audio/81.wav,can you increase the lightning level in the studio
../smart-lights-en-close-field/speech_corpus/audio/1238.wav,turn the bedroom light to 73
../smart-lights-en-close-field/speech_corpus/audio/1131.wav,turn brightness down in bedroom
../smart-lights-en-close-field/speech_corpus/audio/1511.wav,make the living room lighter
../smart-lights-en-close-field/speech_corpus/audio/168.wav,change the color of the lights to Blue and the dining room
../smart-lights-en-close-field/speech_corpus/audio/1530.wav,please give me some light
../smart-lights-en-close-field/speech_corpus/audio/68.wav,can you change the lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/1274.wav,turn the lights in the garden of
../smart-lights-en-close-field/speech_corpus/audio/1171.wav,turn off lights
../smart-lights-en-close-field/speech_corpus/audio/1277.wav,turn the lights in the waiting room 239
../smart-lights-en-close-field/speech_corpus/audio/1533.wav,please increase the light brightness everywhere
../smart-lights-en-close-field/speech_corpus/audio/1055.wav,stop lighting the cubicle
../smart-lights-en-close-field/speech_corpus/audio/248.wav,decrease the light intensity in the office
../smart-lights-en-close-field/speech_corpus/audio/991.wav,set the brightness in the bathroom at level 12
../smart-lights-en-close-field/speech_corpus/audio/455.wav,I want the lights to be increased
../smart-lights-en-close-field/speech_corpus/audio/921.wav,turn the kids room brightness to 50
../smart-lights-en-close-field/speech_corpus/audio/156.wav,change office lights to Pink please
../smart-lights-en-close-field/speech_corpus/audio/457.wav,I want the lights to Red please
../smart-lights-en-close-field/speech_corpus/audio/671.wav,lower the lights to 20
../smart-lights-en-close-field/speech_corpus/audio/277.wav,find the bolts for the salad and turn them up
